"title","content","date","variant","images","verified","author","rating","product","url"
"nice product ！","Everything is as its description I sit at my desk most of the day and my seat is important. Uncomfortable office chairs can damage productivity, morale and health, and can even cause back pain, circulation problems, carpal tunnels and other injuries. For better health, well-being and efficiency, choosing a comfortable chair is very necessary for me. The mid-back office chair supports the natural curve of the spine, protecting my lower back and middle back because it urges me to sit up straight. I ordered and satisfied with these items because they feature an open mesh design that creates a breathable, well-ventilated backrest, and the padded mesh seat is thick and flexible, and the pneumatic controls make it easier to raise or lower the seat.  Everything is as its description. The most important thing is that it is shipped by Amazon , and it has a warranty: 12 months warranty. I can buy it without risk. Overall, this is a great chair for me, and it was so easy to put together, followed the user manual and in 25 minutes I had the chair assembled.","02 Apr 2019","","https://images-na.ssl-images-amazon.com/images/I/71GKT2g1hWL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71QGfrsTaUL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71UeO16MBML._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71gKpth7owL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71jO+NUdhmL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81Y9wA+vzOL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81sPz8KolOL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/91agi5IEduL._SY88.jpg","Yes","Amazon Customer","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Good inexpensive chair that is comfortable for all-day use.","I was looking at chairs and was almost ready to dive in head first on an x-chair for $1100 - but then looked a little further and found this for around $70.  I ordered and it came in two days. The chair is decent quality and it is comfortable with the mesh back conforming to your back. Is it the most comfortable chair ever? No, but it works. The rollers are good (hardwood floor) and the assembly was easy, although I attached the arms to the back first and then attached the seat, finding that easier than the instructions.  I have had to tighten the main mounting bolts once now after a little over a week of use, but no big deal. The adjustments are decent - I mainly just raise it up and down, but it does have a spring-assisted ""recline"" that is nice when you just want to lean back for a bit. The arms are fixed and not adjustable - but I am rarely working with my computer with my arms to my side. I am large framed but not excessively overweight, and I have plenty of room in the chair (6'2"" 225lbs).  Good travel on the height adjustment to get you just right at your keyboard. Very happy so far with the chair. I was not paid or offered any bonus for my review.","03 Jul 2019","","https://images-na.ssl-images-amazon.com/images/I/71C54Ea-08L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71L2xWW+jHL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71dLW4zEmSL._SY88.jpg","Yes","mqqn","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Surprisingly easy for a 68-year-old retiree to assemble by himself","TL:DR? Video Slides (PDF file) showing each step of the assembly Video: Nine minute video (MP4) where I talk about the assembly I got this chair a few days ago. It was the first time that I've ever assembled my own chair. In the past, I've ordered them fully assembled or bought them locally, already assembled. I'm 68, retired, not strong, and not that handy with tools. When I need something hung on the wall, I usually ask someone else to do it for me. This chair is 100% better than the office chair that it is replacing. My prior chair allowed my thighs to bump into the arm rests. I do not have that problem with this chair. I also found my last chair, a leatherette chair, to not be comfortable for me to lean back against. This chair I regularly use the backrest and sometimes rock the chair. The lumbar support is perfect for my back. The curve of the mesh back matches the curve of my back. I'm 6'5"" tall, if that makes any difference to someone reading this. Because I wanted to review the chair, I decided to do it all of the work by myself. I deliberately did NOT ask my friend to come over and film me doing it because he probably would have interrupted me each time he thought he could do it better. (I got it 100% right on my own). Including unpacking the box, spreading everything around me, counting everything, doing the assembly, and taking pictures while I worked, it took me less than an hour. I'm sure that some young people could have done it in a quarter hour or less, but I referred to the instructions at every step. I only found one step of the instructions confusing, but once I figured it out, it made total sense. Steps 3 and 4 include the notation, ""50%"", which I finally realized meant ""finger tighten"" or ""loose tighten"". As I state in the video, you loosely attach the side pieces to the seat bottom, then to the seat back, then you tighten the screws in the base, then tighten them on the back. I'm not a handy person, but I found myself handy enough, assembling this chair. The instructions were clear, and are language-independent. You do not need to read English or Spanish to understand the instructions. Here are some tips: 1. Unpack and COUNT everything 2. The screws and allen wrench come in a nice plastic card with each compartment numbered. This makes it easy to count the screws in advance. I turned the card over and wrote the screw numbers on the back, then cut openings from the back so that I could remove the correct screws at each step of the process. 3. The wheels were not hard to attach, but you do have to push harder than some people might expect. Even though I'm not strong, I had no problem getting the wheels into their positions. I suspect it will be much harder to remove them if I ever need to replace a wheel. 4. Do be sure that you put the armrests onto the seat bottom so that the front of the armrests (the end without screw holes) properly points to the front of the seat (labeled on the bottom). 5. The ""50%"" notation in steps 3 and 4 mean to just finger tighten the screws at those steps. You want to be able to adjust the screw in the oblong holes before tightening the screws in steps 5 and 6. Though I don't show myself assembling the chair (I live alone), I have shown the steps that I went through with photos at each step. You can see the video, or you look at the images separately, which I have attached to this video. In addition, if you want all my images in one place, you can find them at the attached link. I am enjoying this chair. Like I said, I put it together by myself, and I'm not a hands-on man. I'm a computer programmer, not a handyman. I think most people with adequate eyesight and at least seven fingers can do a good job assembling this chair. Do NOT pay Amazon for expert assembly.","20 Oct 2019","","https://images-na.ssl-images-amazon.com/images/I/711l3SUUMoL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/718eyhB433L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/719JwiGGGaL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71K2dVVEFwL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71KDMtYkzML._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71NQxohvMlL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71QecxsMx7L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71Z0OJyfndL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71c0b6CjWIL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71dFsBQED5L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71uZUAEDOKL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71zzHj3rJ9L._SY88.jpg","Yes","JohnAroundTheCornerReviews","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Easy to assemble and great fit","I needed a smaller footprint when I moved my office downstairs. Took a chance and bought this chair. So glad I made this choice. Perfect for the space. It was easy to assemble. I am not mechanical and got it together in little under an hour. Fits great under my new desk. I would buy it again!!","24 Mar 2019","","https://images-na.ssl-images-amazon.com/images/I/81VMEO8Bt2L._SY88.jpg","Yes","Amazon Customer","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Perfect Chair for a Teacher","I love my new chair! I am a teacher, so I do not get to sit very often. But, when I do, I want to be comfortable. Before I bought this chair, I used a hard, plastic student chair and my back often ached. I am super excited to add this chair to my classroom. Assembly The assembly took about 15 minutes. It probably would have taken less time if I paid attention to the clearly labeled LEFT and RIGHT on the armrest. All of the parts are labeled, and so were the screws. They even included extra screws. The instructions were also super clear. Comfort This chair is super comfy. The padding in the bottom is super thick, and the back net feels great on my back. The chair is very wide too. Look The chair is very sleek and modern. It doesen't look like an office chair that you you would find in a old stuffy office. Durability I don't know how they managed to make a chair that is durable and comfortable, but they did, somehow. I think this will last for many years!","12 Oct 2019","","https://images-na.ssl-images-amazon.com/images/I/71m1Jig6GpL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71onb2qA9gL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/814Oxo4tcLL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81LZvWN-keL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81LdG7kCytL._SY88.jpg","Yes","Ashley","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Good for posture","This is a fairly basic chair, but I can't complain for the price. I've noticed that it makes me sit up straight, so it is definitely helping my posture. This is not the chair you want if you enjoy laying back and kicking your feet up. I feel like I'm sitting down to work when I use this chair. Assembly was easy and everything was clearly labeled. The only complaint I have is that the arm rests are stiff, but that may improve with time. Also, it fits under the table top of my desk well. My last chair was too tall for that.","02 May 2019","","https://images-na.ssl-images-amazon.com/images/I/81Wll1fXx3L._SY88.jpg","Yes","thirtyfiftyone","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Love this chair.","My old PU office chair finally bit the dust so I looked and looked and looked for a new office chair and finally just randomly picked this chair. I wanted a mesh back as I use one at work. Assembly of the chair was easy and the instructions were easy to follow. It’s comfortable however is just a little smaller than I was expecting compared to some of the chairs I sat on at an office supply store. So far I’ve been satisfied with this chair as it’s only been a day but if you’re looking for a cheap every day chair, this one seems just fine.","17 Apr 2019","","","Yes","Stephen","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Strongly recommended","Really easy to install. Only a few screws I need to put on. I got another office chair from Ikea. The two aren’t comparable. I like the one I purchase from this seller. Real comfortable, especially final week is coming. It’s like sitting on clouds.","02 May 2019","","https://images-na.ssl-images-amazon.com/images/I/71bhvXMLMOL._SY88.jpg","Yes","Mira Garden","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Easy to assemble and smooth to handle.","Very easy to assemble, smooth wheels, works on wooden floors too. Feels good. I use it all the time when I am in front of computer now.","28 Jun 2019","","https://images-na.ssl-images-amazon.com/images/I/712TzNUKx-L._SY88.jpg","Yes","Sree","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Easy to Assemble. Comfortable.","If you are in the market for a new chair look no further. This chair was extremely easy to assemble, was able to do it in 20 min distracted by my favorite TV show. For a home office this chair is comfortable, leans back just enough however still feels sturdy and secure. This chair gets abused by my children who sit in it constantly to game on the computer and has held up perfectly with no defects. The chair is priced right, easy to assemble, and designed to last - a must buy.","18 Jul 2019","","https://images-na.ssl-images-amazon.com/images/I/71daIi5jPtL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71l6yAjEglL._SY88.jpg","Yes","Alex","5.0","Ergonomic Office Chair Lumbar Support Mesh Chair Computer Desk Task Chair with Armrests","/FLOURISH-leather-Executive-Computer-Flip-up/product-reviews/B01HEJ5IXS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Pretty nice chair for the money","Decent chair especially for the money; Pros: + Soft leather + Great lumbar support + Incredible price for a leather chair with this style Cons: - Chair back only reaches mid-neck for me and I don't have a long torso (I'm 5'11 but torso length is most important for seating height) - Where you sit (the mesh area) is the least padded area of the entire chair, and you can tell if seated for a while - Very minor, but wish they included washers for all the bolts on the bottom so you can torque them down nice and evenly Conclusion: I think you get what you pay for and then some with this chair. It doesnt have the side bolstering or padding that more expensive brands have but if you look at them, this Furmax chair actually has better lumbar support. However, this chair does NOT compete with those chairs IMO because it doesn't have the head support they do, but its a nice looking office chair. Furmax does make a gaming chair as well and the backrest on that one is over 4 inches higher to provide more head/neck support, I wish I got that one instead, but this one is still nice.","13 Mar 2018","Color: Black","","Yes","P. S.","5.0","Furmax Office Desk Leather Gaming, High Back Ergonomic Adjustable Racing Task Swivel Executive Computer Chair Headrest and Lumbar Support (Black)","/Furmax-Ergonomic-Adjustable-Executive-Computer/product-reviews/B01LXXM5EK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Good seat, poor assembly/parts & sketchy customer service","The chair itself is firm and comfortable, but after 6 months, the arm is loose on a daily basis. I keep the larger sized wrench that came with the seat in my computer desk and pull it out 1-2 times a day to tighten the arm. Additionally, the seat sinks a few inches from the highest position every few hours. It is rather annoying to keep having to fix the chair height and arm. So while the chair is comfortable, the constant adjustments are too much to earn a higher rating than 2/5 stars. Edit: After posting this review, the seller contacted me via text message saying they would refund me the full price of the chair if I changed my review to be based off their customer service instead of the chair itself. I agreed, thinking this was fair since the chair was not great (as mentioned above). However, the seller then only refunded me 50% of the cost and said I would have to DELETE my review to get the other half! Unbelievable. I contacted Amazon right away and they assured me I would get the full refund. I'm now changing my review to 1* after this horrible experience.","14 Mar 2018","Color: Black","","Yes","Alexander Phillips","1.0","Furmax Office Desk Leather Gaming, High Back Ergonomic Adjustable Racing Task Swivel Executive Computer Chair Headrest and Lumbar Support (Black)","/Furmax-Ergonomic-Adjustable-Executive-Computer/product-reviews/B01LXXM5EK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Satisfied","Super easy to assembly, probably less than 15 minutes. Firm and sturdy. I do not like some chairs that loose their firmness shortly. This one looks can last long. The back part is high which can hold my head when I am tired. Generally, satisfied for the price and quality!","14 Aug 2019","Color: Black","https://images-na.ssl-images-amazon.com/images/I/61XfaJqPhmL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71dB38oZ2oL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71dZo0XnsmL._SY88.jpg","Yes","ben","5.0","Furmax Office Desk Leather Gaming, High Back Ergonomic Adjustable Racing Task Swivel Executive Computer Chair Headrest and Lumbar Support (Black)","/Furmax-Ergonomic-Adjustable-Executive-Computer/product-reviews/B01LXXM5EK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"comfy but already peeling","The chair took some doing to assemble for one person but it's been sturdy enough and rolls easily on low pile carpet. It's comfortable enough to sit in all day and wide enough for me to tuck a leg under, which is nice. However, even though I've only owned the chair for two months, the material of the seat is already splitting and peeling. UPDATE: Not 3hrs after leaving the review, I was contacted by the seller, where they offered me a $30 refund to change this review to 5 stars. I feel that this is dishonest business and it casts doubt on the truth of other 5 star reviews on this product. UPDATE 4/7/2018: Not only is the chair peeling EXTENSIVELY now, but the gas cylinder that raises and lowers the chair has stopped functioning. The seller (Furmax) has not stopped pestering me to change my review to 5 stars.","26 Jan 2018","Color: Black","","Yes","Astor","3.0","Furmax Office Desk Leather Gaming, High Back Ergonomic Adjustable Racing Task Swivel Executive Computer Chair Headrest and Lumbar Support (Black)","/Furmax-Ergonomic-Adjustable-Executive-Computer/product-reviews/B01LXXM5EK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
